Date,High,Low,Open,Close,Volume,Adj Close
06/08/2019,1179.959961,1160,1163.310059,1169.949951,1709400,1169.949951
07/08/2019,1178.444946,1149.624023,1156,1173.98999,1444300,1173.98999
08/08/2019,1205.01001,1173.02002,1182.829956,1204.800049,1468000,1204.800049
09/08/2019,1203.880005,1183.603027,1197.98999,1188.01001,1065700,1188.01001
12/08/2019,1184.959961,1167.671997,1179.209961,1174.709961,1003000,1174.709961
13/08/2019,1204.780029,1171.459961,1171.459961,1197.27002,1294400,1197.27002
14/08/2019,1182.300049,1160.540039,1176.310059,1164.290039,1578700,1164.290039
15/08/2019,1175.839966,1162.109985,1163.5,1167.26001,1218700,1167.26001
16/08/2019,1182.719971,1171.810059,1179.550049,1177.599976,1313300,1177.599976
19/08/2019,1206.98999,1190.089966,1190.089966,1198.449951,1231600,1198.449951
20/08/2019,1196.060059,1182.109985,1195.25,1182.689941,915500,1182.689941
21/08/2019,1199,1187.430054,1193.150024,1191.25,740700,1191.25
22/08/2019,1198.011963,1178.579956,1194.069946,1189.530029,947500,1189.530029
23/08/2019,1194.079956,1147.75,1181.98999,1151.290039,1687000,1151.290039
26/08/2019,1169.469971,1152.959961,1157.26001,1168.890015,1226100,1168.890015
27/08/2019,1182.400024,1161.449951,1180.530029,1167.839966,1077200,1167.839966
28/08/2019,1176.420044,1157.300049,1161.709961,1171.02002,802000,1171.02002
29/08/2019,1196.060059,1181.119995,1181.119995,1192.849976,1088400,1192.849976
30/08/2019,1198.5,1183.802979,1198.5,1188.099976,1129800,1188.099976
03/09/2019,1186.890015,1163.199951,1177.030029,1168.390015,1479900,1168.390015
04/09/2019,1183.47998,1171,1176.709961,1181.410034,1068900,1181.410034
05/09/2019,1213.040039,1191.530029,1191.530029,1211.380005,1408100,1211.380005
06/09/2019,1212.015015,1202.521973,1208.130005,1204.930054,1072100,1204.930054
09/09/2019,1220,1192.619995,1204,1204.410034,1471900,1204.410034
10/09/2019,1210,1194.579956,1195.150024,1206,1260100,1206
11/09/2019,1222.599976,1202.199951,1203.410034,1220.170044,1307000,1220.170044
12/09/2019,1241.859985,1223.02002,1224.300049,1234.25,1725900,1234.25
13/09/2019,1240.880005,1227.01001,1231.349976,1239.560059,1301400,1239.560059
16/09/2019,1239.560059,1225.609985,1229.52002,1231.300049,1053300,1231.300049
17/09/2019,1235,1223.689941,1230.400024,1229.150024,955100,1229.150024
18/09/2019,1235.609985,1216.530029,1227.51001,1232.410034,1135100,1232.410034
19/09/2019,1244.439941,1232.02002,1232.060059,1238.709961,996000,1238.709961
20/09/2019,1243.319946,1223.079956,1233.119995,1229.930054,2270000,1229.930054
23/09/2019,1239.089966,1224.170044,1226,1234.030029,1062400,1234.030029
24/09/2019,1246.73999,1210.680054,1240,1218.76001,1583200,1218.76001
25/09/2019,1248.300049,1210.089966,1215.819946,1246.52002,1453000,1246.52002
26/09/2019,1245,1232.267944,1241.959961,1241.390015,1538000,1241.390015
27/09/2019,1244.02002,1214.449951,1243.01001,1225.089966,1353900,1225.089966
30/09/2019,1226,1212.300049,1220.969971,1219,1404100,1219
01/10/2019,1231.22998,1203.579956,1219,1205.099976,1273500,1205.099976
02/10/2019,1196.97998,1171.290039,1196.97998,1176.630005,1615100,1176.630005
03/10/2019,1189.060059,1162.430054,1180,1187.829956,1621200,1187.829956
04/10/2019,1211.439941,1189.170044,1191.890015,1209,1162400,1209
07/10/2019,1218.203979,1203.75,1204.400024,1207.680054,842900,1207.680054
08/10/2019,1206.079956,1189.01001,1197.589966,1189.130005,1039300,1189.130005
09/10/2019,1208.349976,1197.630005,1199.349976,1202.310059,867700,1202.310059
10/10/2019,1215,1197.339966,1198.579956,1208.670044,846600,1208.670044
11/10/2019,1228.390015,1213.73999,1222.209961,1215.449951,1272700,1215.449951
14/10/2019,1226.329956,1211.76001,1212.339966,1217.140015,867500,1217.140015
15/10/2019,1247.329956,1220.400024,1220.400024,1243.01001,1381700,1243.01001
16/10/2019,1254.73999,1238.449951,1241.170044,1243.640015,1094600,1243.640015
17/10/2019,1263.324951,1249.939941,1250.930054,1253.069946,952400,1253.069946
18/10/2019,1258.890015,1241.079956,1253.459961,1245.48999,1352800,1245.48999
21/10/2019,1254.629028,1240.599976,1252.26001,1246.150024,1027200,1246.150024
22/10/2019,1250.599976,1241.380005,1247.849976,1242.800049,1023800,1242.800049
23/10/2019,1259.890015,1242.359985,1242.359985,1259.130005,911500,1259.130005
24/10/2019,1264,1253.714966,1260.900024,1260.98999,1028100,1260.98999
25/10/2019,1269.599976,1250.01001,1251.030029,1265.130005,1213100,1265.130005
28/10/2019,1299.310059,1272.540039,1275.449951,1290,2613200,1290
29/10/2019,1281.589966,1257.212036,1276.22998,1262.619995,1886400,1262.619995
30/10/2019,1269.359985,1252,1252.969971,1261.290039,1408900,1261.290039
31/10/2019,1267.670044,1250.843018,1261.280029,1260.109985,1455700,1260.109985
01/11/2019,1274.619995,1260.5,1265,1273.73999,1670100,1273.73999
04/11/2019,1294.130005,1276.35498,1276.449951,1291.369995,1501000,1291.369995
05/11/2019,1298.930054,1291.229004,1292.890015,1292.030029,1282700,1292.030029
06/11/2019,1293.72998,1282.5,1289.459961,1291.800049,1152700,1291.800049
07/11/2019,1323.73999,1294.244995,1294.280029,1308.859985,2030000,1308.859985
08/11/2019,1318,1304.36499,1305.280029,1311.369995,1251400,1311.369995
11/11/2019,1306.425049,1297.410034,1303.180054,1299.189941,1011900,1299.189941
12/11/2019,1310,1295.77002,1300,1298.800049,1085900,1298.800049
13/11/2019,1304.300049,1293.51001,1294.069946,1298,826700,1298
14/11/2019,1317,1295.650024,1297.5,1311.459961,1193500,1311.459961
15/11/2019,1334.880005,1314.280029,1318.939941,1334.869995,1782600,1334.869995
18/11/2019,1335.529053,1317.5,1332.219971,1320.699951,1487400,1320.699951
19/11/2019,1327.699951,1312.800049,1327.699951,1315.459961,1269200,1315.459961
20/11/2019,1315,1291.150024,1311.73999,1303.050049,1308600,1303.050049
21/11/2019,1312.589966,1293,1301.47998,1301.349976,995500,1301.349976
22/11/2019,1308.72998,1291.410034,1305.619995,1295.339966,1385700,1295.339966
25/11/2019,1311.310059,1298.130005,1299.180054,1306.689941,1036200,1306.689941
26/11/2019,1314.800049,1305.089966,1309.859985,1313.550049,1069700,1313.550049
27/11/2019,1318.359985,1309.630005,1315,1312.98999,995600,1312.98999
29/11/2019,1310.204956,1303.969971,1307.119995,1304.959961,587000,1304.959961
02/12/2019,1305.829956,1281,1301,1289.920044,1510900,1289.920044
03/12/2019,1298.46106,1279,1279.569946,1295.280029,1143800,1295.280029
04/12/2019,1325.800049,1304.869995,1307.01001,1320.540039,1537500,1320.540039
05/12/2019,1329.358032,1316.439941,1328,1328.130005,1212700,1328.130005
06/12/2019,1344,1333.439941,1333.439941,1340.619995,1314800,1340.619995
09/12/2019,1359.449951,1337.839966,1338.040039,1343.560059,1354300,1343.560059
10/12/2019,1349.974976,1336.040039,1341.5,1344.660034,1094100,1344.660034
11/12/2019,1351.199951,1342.670044,1350.839966,1345.02002,850400,1345.02002
12/12/2019,1355.775024,1340.5,1345.939941,1350.27002,1281000,1350.27002
13/12/2019,1353.093018,1343.869995,1347.949951,1347.829956,1549600,1347.829956
16/12/2019,1364.680054,1352.670044,1356.5,1361.170044,1397300,1361.170044
17/12/2019,1365,1351.322998,1362.890015,1355.119995,1854000,1355.119995
18/12/2019,1360.469971,1351,1356.599976,1352.619995,1522600,1352.619995
19/12/2019,1358.099976,1348.984985,1351.819946,1356.040039,1469900,1356.040039
20/12/2019,1363.640015,1349,1363.349976,1349.589966,3315000,1349.589966
23/12/2019,1359.800049,1346.51001,1355.869995,1348.839966,883100,1348.839966
24/12/2019,1350.26001,1342.780029,1348.5,1343.560059,347500,1343.560059
26/12/2019,1361.327026,1344.469971,1346.170044,1360.400024,667500,1360.400024
27/12/2019,1364.530029,1349.310059,1362.98999,1351.890015,1038400,1351.890015
30/12/2019,1353,1334.02002,1350,1336.140015,1050900,1336.140015
31/12/2019,1338,1329.084961,1330.109985,1337.02002,961800,1337.02002
02/01/2020,1368.140015,1341.550049,1341.550049,1367.369995,1406600,1367.369995
03/01/2020,1372.5,1345.543945,1347.859985,1360.660034,1186400,1360.660034
06/01/2020,1396.5,1350,1350,1394.209961,1732300,1394.209961
07/01/2020,1402.98999,1390.380005,1397.939941,1393.339966,1502700,1393.339966
08/01/2020,1411.579956,1390.839966,1392.079956,1404.319946,1528000,1404.319946
09/01/2020,1427.329956,1410.27002,1420.569946,1419.829956,1500900,1419.829956
10/01/2020,1434.928955,1418.349976,1427.560059,1429.72998,1820700,1429.72998
13/01/2020,1440.52002,1426.02002,1436.130005,1439.22998,1652300,1439.22998
14/01/2020,1441.800049,1428.369995,1439.01001,1430.880005,1558900,1430.880005
15/01/2020,1441.39502,1430.209961,1430.209961,1439.199951,1282700,1439.199951
16/01/2020,1451.98999,1440.920044,1447.439941,1451.699951,1173700,1451.699951
17/01/2020,1481.295044,1458.219971,1462.910034,1480.390015,2396200,1480.390015
21/01/2020,1491.849976,1471.199951,1479.119995,1484.400024,2036700,1484.400024
22/01/2020,1503.213989,1484.930054,1491,1485.949951,1610800,1485.949951
23/01/2020,1495.52002,1482.099976,1487.640015,1486.650024,1351200,1486.650024
24/01/2020,1495.494995,1465.25,1493.589966,1466.709961,1784600,1466.709961
27/01/2020,1438.069946,1421.199951,1431,1433.900024,1755200,1433.900024
28/01/2020,1456,1432.469971,1443,1452.560059,1577400,1452.560059
29/01/2020,1465.430054,1446.73999,1458.800049,1458.630005,1077700,1458.630005
30/01/2020,1457.280029,1436.400024,1439.959961,1455.839966,1339400,1455.839966
31/01/2020,1470.130005,1428.530029,1468.900024,1434.22998,2417200,1434.22998
03/02/2020,1490,1458.98999,1462,1485.939941,3055200,1485.939941
04/02/2020,1469.5,1426.300049,1457.069946,1447.069946,3933000,1447.069946
05/02/2020,1463.839966,1430.560059,1462.420044,1448.22998,1985000,1448.22998
06/02/2020,1482,1449.569946,1450.329956,1476.22998,1679400,1476.22998
07/02/2020,1485.839966,1466.349976,1467.300049,1479.22998,1172300,1479.22998
10/02/2020,1509.5,1474.319946,1474.319946,1508.680054,1419900,1508.680054
11/02/2020,1529.630005,1505.637939,1511.810059,1508.790039,1344600,1508.790039
12/02/2020,1520.694946,1508.109985,1514.47998,1518.27002,1167600,1518.27002
13/02/2020,1527.180054,1504.599976,1512.689941,1514.660034,929500,1514.660034
14/02/2020,1520.73999,1507.339966,1515.599976,1520.73999,1197800,1520.73999
18/02/2020,1531.630005,1512.589966,1515,1519.670044,1120700,1519.670044
19/02/2020,1532.105957,1521.400024,1525.069946,1526.689941,949300,1526.689941
20/02/2020,1529.640015,1506.819946,1522,1518.150024,1096600,1518.150024
21/02/2020,1512.214966,1480.439941,1508.030029,1485.109985,1731700,1485.109985
24/02/2020,1436.969971,1411.390015,1426.109985,1421.589966,2867100,1421.589966
25/02/2020,1438.140015,1382.400024,1433,1388.449951,2478300,1388.449951
26/02/2020,1415.699951,1379,1396.140015,1393.180054,2202400,1393.180054
27/02/2020,1371.703979,1317.170044,1362.060059,1318.089966,2971100,1318.089966
28/02/2020,1341.140015,1271,1277.5,1339.329956,3790600,1339.329956
02/03/2020,1390.869995,1326.814941,1351.609985,1389.109985,2431500,1389.109985
03/03/2020,1410.150024,1332,1399.420044,1341.390015,2402300,1341.390015
04/03/2020,1388.089966,1343.109985,1359.22998,1386.52002,1913300,1386.52002
05/03/2020,1358.910034,1305.099976,1350.199951,1319.040039,2561300,1319.040039
06/03/2020,1306.219971,1261.050049,1277.060059,1298.410034,2660600,1298.410034
09/03/2020,1254.76001,1200,1205.300049,1215.560059,3365400,1215.560059
10/03/2020,1281.150024,1218.77002,1260,1280.390015,2611400,1280.390015
11/03/2020,1260.959961,1196.069946,1249.699951,1215.410034,2608500,1215.410034
12/03/2020,1193.869995,1113.300049,1126,1114.910034,4226700,1114.910034
13/03/2020,1219.76001,1117.142944,1179,1219.72998,3700100,1219.72998
16/03/2020,1152.266968,1074.439941,1096,1084.329956,4252400,1084.329956
17/03/2020,1130.859985,1056.01001,1093.109985,1119.800049,3861500,1119.800049
18/03/2020,1106.5,1037.280029,1056.51001,1096.800049,4233400,1096.800049
19/03/2020,1157.969971,1060.108032,1093.050049,1115.290039,3651100,1115.290039
20/03/2020,1143.98999,1065.48999,1135.719971,1072.319946,3601800,1072.319946
23/03/2020,1071.319946,1013.536011,1061.319946,1056.619995,4044100,1056.619995
24/03/2020,1135,1090.619995,1103.77002,1134.459961,3344500,1134.459961
25/03/2020,1148.900024,1086.01001,1126.469971,1102.48999,4081500,1102.48999
26/03/2020,1169.969971,1093.530029,1111.800049,1161.75,3571700,1161.75
27/03/2020,1150.670044,1105.910034,1125.670044,1110.709961,3208500,1110.709961
30/03/2020,1151.630005,1096.47998,1125.040039,1146.819946,2574100,1146.819946
31/03/2020,1175.310059,1138.140015,1147.300049,1162.810059,2486400,1162.810059
01/04/2020,1129.689941,1097.449951,1122,1105.619995,2344200,1105.619995
02/04/2020,1126.859985,1096.400024,1098.26001,1120.839966,1964900,1120.839966
03/04/2020,1123.540039,1079.810059,1119.015015,1097.880005,2313400,1097.880005
06/04/2020,1194.660034,1130.939941,1138,1186.920044,2664700,1186.920044
07/04/2020,1225,1182.22998,1221,1186.51001,2387300,1186.51001
08/04/2020,1219.069946,1188.160034,1206.5,1210.280029,1975100,1210.280029
09/04/2020,1225.569946,1196.734985,1224.079956,1211.449951,2175400,1211.449951
13/04/2020,1220.51001,1187.598022,1209.180054,1217.560059,1739800,1217.560059
14/04/2020,1282.069946,1236.930054,1245.089966,1269.22998,2470400,1269.22998
15/04/2020,1280.459961,1240.400024,1245.609985,1262.469971,1671700,1262.469971
16/04/2020,1279,1242.619995,1274.099976,1263.469971,2518100,1263.469971
17/04/2020,1294.430054,1271.22998,1284.849976,1283.25,1949000,1283.25
20/04/2020,1281.599976,1261.369995,1271,1266.609985,1695500,1266.609985
21/04/2020,1254.27002,1209.709961,1247,1216.339966,2153000,1216.339966
22/04/2020,1285.613037,1242,1245.540039,1263.209961,2093100,1263.209961
23/04/2020,1293.310059,1265.670044,1271.550049,1276.310059,1566200,1276.310059
24/04/2020,1280.400024,1249.449951,1261.170044,1279.310059,1640400,1279.310059
27/04/2020,1296.150024,1269,1296,1275.880005,1600600,1275.880005
28/04/2020,1288.050049,1232.199951,1287.930054,1233.670044,2951300,1233.670044
29/04/2020,1359.98999,1325.339966,1341.459961,1341.47998,3793600,1341.47998
30/04/2020,1352.819946,1322.48999,1324.880005,1348.660034,2665400,1348.660034
01/05/2020,1352.069946,1311,1328.5,1320.609985,2072500,1320.609985
04/05/2020,1327.660034,1299,1308.22998,1326.800049,1504000,1326.800049
05/05/2020,1373.939941,1337.459961,1337.920044,1351.109985,1651500,1351.109985
06/05/2020,1371.119995,1347.290039,1361.689941,1347.300049,1215400,1347.300049
07/05/2020,1377.599976,1355.27002,1365.939941,1372.560059,1397600,1372.560059
08/05/2020,1398.76001,1375.47998,1383.130005,1388.369995,1388100,1388.369995
11/05/2020,1416.530029,1377.151978,1378.280029,1403.26001,1410600,1403.26001
12/05/2020,1415,1374.77002,1407.119995,1375.73999,1390600,1375.73999
13/05/2020,1385.482056,1328.400024,1377.050049,1349.329956,1812600,1349.329956
14/05/2020,1357.420044,1323.910034,1335.02002,1356.130005,1603100,1356.130005
15/05/2020,1374.47998,1339,1350,1373.189941,1707700,1373.189941
18/05/2020,1392.324951,1354.25,1361.75,1383.939941,1824000,1383.939941
19/05/2020,1392,1373.484985,1386.996948,1373.484985,1280600,1373.484985
20/05/2020,1410.420044,1387.25,1389.579956,1406.719971,1655400,1406.719971
21/05/2020,1415.48999,1393.449951,1408,1402.800049,1385000,1402.800049
22/05/2020,1412.76001,1391.829956,1396.709961,1410.420044,1309400,1410.420044
26/05/2020,1441,1412.130005,1437.27002,1417.02002,2060600,1417.02002
27/05/2020,1421.73999,1391.290039,1417.25,1417.839966,1685800,1417.839966
28/05/2020,1440.839966,1396,1396.859985,1416.72998,1692200,1416.72998
29/05/2020,1432.569946,1413.349976,1416.939941,1428.920044,1838100,1428.920044
01/06/2020,1437.959961,1418,1418.390015,1431.819946,1217100,1431.819946
02/06/2020,1439.609985,1418.829956,1430.550049,1439.219971,1278100,1439.219971
03/06/2020,1446.552002,1429.776978,1438.300049,1436.380005,1256200,1436.380005
04/06/2020,1438.959961,1404.72998,1430.400024,1412.180054,1484300,1412.180054
05/06/2020,1445.050049,1406,1413.170044,1438.390015,1734900,1438.390015
08/06/2020,1447.98999,1422.339966,1422.339966,1446.609985,1404200,1446.609985
09/06/2020,1468,1443.209961,1445.359985,1456.160034,1409200,1456.160034
10/06/2020,1474.259033,1456.27002,1459.540039,1465.849976,1525200,1465.849976
11/06/2020,1454.474976,1402,1442.47998,1403.839966,1991300,1403.839966
12/06/2020,1437,1386.02002,1428.48999,1413.180054,1944200,1413.180054
15/06/2020,1424.800049,1387.920044,1390.800049,1419.849976,1503900,1419.849976
16/06/2020,1455.02002,1425.900024,1445.219971,1442.719971,1709200,1442.719971
17/06/2020,1460,1431.380005,1447.160034,1451.119995,1548300,1451.119995
18/06/2020,1451.410034,1427.01001,1449.160034,1435.959961,1581900,1435.959961
19/06/2020,1447.800049,1421.349976,1444,1431.719971,3157900,1431.719971
22/06/2020,1452.75,1423.209961,1429,1451.859985,1542400,1451.859985
23/06/2020,1475.94104,1445.23999,1455.640015,1464.410034,1429800,1464.410034
24/06/2020,1475.420044,1429.75,1461.51001,1431.969971,1756000,1431.969971
25/06/2020,1442.900024,1420,1429.900024,1441.329956,1230500,1441.329956
26/06/2020,1433.449951,1351.98999,1431.390015,1359.900024,4267700,1359.900024
29/06/2020,1395.599976,1347.01001,1358.180054,1394.969971,1810200,1394.969971
30/06/2020,1418.650024,1383.959961,1390.439941,1413.609985,2042400,1413.609985
01/07/2020,1443,1409.819946,1411.099976,1438.040039,1775200,1438.040039
02/07/2020,1482.949951,1446.420044,1446.939941,1464.699951,1859100,1464.699951
06/07/2020,1506.589966,1472.859985,1480.060059,1495.699951,1564000,1495.699951
07/07/2020,1516.800049,1483.550049,1490,1485.180054,1458200,1485.180054
08/07/2020,1505.880005,1485.630005,1494.319946,1496,1249700,1496
09/07/2020,1522.719971,1488.084961,1506.449951,1510.98999,1423300,1510.98999
10/07/2020,1543.829956,1496.540039,1506.150024,1541.73999,1856300,1541.73999
13/07/2020,1577.131958,1505.243042,1550,1511.339966,1846400,1511.339966
14/07/2020,1522.949951,1483.5,1490.310059,1520.579956,1585000,1520.579956
15/07/2020,1535.329956,1498,1523.130005,1513.640015,1610700,1513.640015
16/07/2020,1518.689941,1486.310059,1500,1518,1519300,1518
17/07/2020,1523.439941,1498.420044,1521.619995,1515.550049,1456700,1515.550049
20/07/2020,1570.290039,1503.599976,1515.26001,1565.719971,1557300,1565.719971
21/07/2020,1586.98999,1554.280029,1586.98999,1558.420044,1218600,1558.420044
22/07/2020,1570,1546.099976,1560.5,1568.48999,932000,1568.48999
23/07/2020,1571.869995,1507.391968,1566.969971,1515.680054,1627600,1515.680054
24/07/2020,1517.635986,1488.400024,1498.930054,1511.869995,1544000,1511.869995
27/07/2020,1540.969971,1515.209961,1515.599976,1530.199951,1246000,1530.199951
28/07/2020,1526.47998,1497.660034,1525.180054,1500.339966,1702200,1500.339966
29/07/2020,1531.251953,1501.329956,1506.319946,1522.02002,1106500,1522.02002
30/07/2020,1537.869995,1492.219971,1497,1531.449951,1671400,1531.449951
31/07/2020,1508.949951,1454.030029,1505.01001,1482.959961,3439900,1482.959961
03/08/2020,1490.469971,1465.640015,1486.640015,1474.449951,2330200,1474.449951
04/08/2020,1485.560059,1458.650024,1476.569946,1464.969971,1903500,1464.969971
05/08/2020,1482.410034,1463.459961,1469.300049,1473.609985,1979500,1473.609985
